landmark,x, y, z
PCLOrigin,-107.81,-146.78,-982.40
femoralCenter,-121.68,-163.62,-1002.91
greaterTrochanter,-143.66,-128.51,-558.66
hipCenter,-92.70,-149.50,-568.80
lateralCondyle,-141.22,-150.51,-1008.74
lateralEpicondyle,-155.77,-140.25,-983.37
lateralPosteriorCondyle,-134.51,-121.67,-988.57
medialCondyle,-93.44,-160.50,-1010.74
medialEpicondyle,-81.43,-167.86,-983.16
medialPosteriorCondyle,-85.09,-134.83,-988.88
medialSulcus,-80.35,-161.01,-986.46
midfemurCenter,-139.71,-161.88,-778.81
whitesideReference,-126.61,-179.77,-991.36
