landmark,x, y, z
PCLOrigin,-88.58,16.84,1287.35
femoralCenter,-99.59,-7.13,1263.01
greaterTrochanter,-154.84,11.68,1704.58
hipCenter,-95.29,0.26,1708.34
lateralCondyle,-127.87,-3.29,1255.03
lateralEpicondyle,-145.17,1.36,1284.95
lateralPosteriorCondyle,-128.74,31.65,1278.90
medialCondyle,-66.27,4.40,1254.01
medialEpicondyle,-52.77,5.17,1285.11
medialPosteriorCondyle,-71.63,38.99,1279.11
medialSulcus,-54.26,12.69,1281.52
midfemurCenter,-123.53,-15.12,1492.99
whitesideReference,-98.34,-29.56,1280.32
