landmark,x, y, z
hipCenter,-86.74,71.08,1365.60
greaterTrochanter,-143.18,82.30,1378.45
femoralCenter,-157.74,55.34,921.01
whitesideReference,-155.05,34.19,936.19
lateralCondyle,-180.43,61.49,918.01
medialCondyle,-126.70,61.25,910.01
lateralPosteriorCondyle,-177.54,92.10,940.71
medialPosteriorCondyle,-127.19,93.30,932.90
midfemurCenter,-145.57,47.90,1024.50
PCLOrigin,-142.88,74.72,943.30
lateralEpicondyle,-193.11,69.06,943.83
medialSulcus,-107.61,68.73,932.55
medialEpicondyle,-106.44,63.57,936.08
