landmark,x, y, z
PCLOrigin,-100.32,-4.24,985.62
femoralCenter,-110.50,-24.40,966.55
greaterTrochanter,-149.75,29.40,1398.23
hipCenter,-100.73,19.24,1402.51
lateralCondyle,-131.00,-20.37,962.51
lateralEpicondyle,-149.95,-10.16,988.20
lateralPosteriorCondyle,-131.45,13.03,981.12
medialCondyle,-84.75,-19.13,958.43
medialEpicondyle,-68.30,-16.41,986.99
medialPosteriorCondyle,-83.28,13.36,978.97
medialSulcus,-69.75,-11.48,982.83
midfemurCenter,-128.83,-10.01,1192.49
whitesideReference,-109.76,-43.31,983.75
