landmark,x, y, z
hipCenter,-85.85,-42.37,1522.16
greaterTrochanter,-124.53,-18.54,1531.97
femoralCenter,-104.45,-35.81,1118.92
whitesideReference,-108.25,-53.99,1130.84
lateralCondyle,-123.56,-24.78,1115.00
medialCondyle,-74.47,-34.37,1107.01
lateralPosteriorCondyle,-114.65,5.77,1136.17
medialPosteriorCondyle,-64.38,-6.80,1130.57
midfemurCenter,-110.98,-41.11,1326.99
PCLOrigin,-87.55,-19.32,1136.64
lateralEpicondyle,-136.57,-12.22,1141.80
medialSulcus,-57.85,-33.65,1130.36
medialEpicondyle,-58.23,-39.41,1132.61
