landmark,x, y, z
PCLOrigin,97.32,-118.82,1041.93
femoralCenter,108.51,-141.60,1021.30
greaterTrochanter,136.41,-120.18,1472.08
hipCenter,88.16,-143.67,1463.39
lateralCondyle,128.93,-132.23,1018.35
lateralEpicondyle,144.65,-124.17,1043.95
lateralPosteriorCondyle,126.74,-100.24,1038.29
medialCondyle,82.28,-127.99,1012.94
medialEpicondyle,66.29,-130.46,1039.34
medialPosteriorCondyle,84.98,-100.22,1033.30
medialSulcus,67.82,-123.70,1036.13
midfemurCenter,118.48,-152.53,1251.31
whitesideReference,107.14,-158.10,1032.59
