landmark,x, y, z
PCLOrigin,-74.63,-1.08,1566.75
femoralCenter,-85.73,-19.58,1545.61
greaterTrochanter,-129.11,-0.12,1953.28
hipCenter,-82.04,-10.39,1949.96
lateralCondyle,-109.91,-12.13,1542.51
lateralEpicondyle,-123.05,-7.11,1567.74
lateralPosteriorCondyle,-107.10,17.38,1561.93
medialCondyle,-60.65,-11.52,1538.47
medialEpicondyle,-43.03,-13.04,1564.91
medialPosteriorCondyle,-57.69,19.34,1561.67
medialSulcus,-43.89,-6.66,1561.43
midfemurCenter,-101.91,-32.32,1756.49
whitesideReference,-85.70,-40.85,1557.18
