landmark,x, y, z
PCLOrigin,-57.78,-116.40,1049.07
femoralCenter,-68.69,-135.52,1030.44
greaterTrochanter,-128.26,-112.83,1436.35
hipCenter,-79.40,-118.77,1435.33
lateralCondyle,-91.20,-128.46,1023.44
lateralEpicondyle,-108.21,-121.60,1048.97
lateralPosteriorCondyle,-93.04,-97.09,1044.82
medialCondyle,-42.84,-125.29,1020.49
medialEpicondyle,-27.38,-130.14,1049.75
medialPosteriorCondyle,-42.37,-97.73,1045.55
medialSulcus,-28.58,-123.71,1046.52
midfemurCenter,-93.37,-140.77,1240.42
whitesideReference,-69.69,-154.50,1048.32
