landmark,x, y, z
PCLOrigin,-118.94,-2.42,1034.45
femoralCenter,-129.61,-23.63,1009.99
greaterTrochanter,-151.03,-14.54,1460.91
hipCenter,-97.25,-31.39,1460.36
lateralCondyle,-153.76,-17.31,1002.40
lateralEpicondyle,-171.44,-11.79,1032.24
lateralPosteriorCondyle,-157.02,16.17,1025.18
medialCondyle,-99.81,-14.16,1001.91
medialEpicondyle,-83.92,-18.64,1032.37
medialPosteriorCondyle,-98.87,18.18,1025.81
medialSulcus,-85.42,-11.27,1028.51
midfemurCenter,-143.54,-37.53,1243.99
whitesideReference,-131.32,-40.02,1021.28
