landmark,x, y, z
hipCenter,-97.19,16.05,-103.41
greaterTrochanter,-128.38,42.30,-94.05
femoralCenter,-112.18,17.07,-481.88
whitesideReference,-114.19,1.76,-471.82
lateralCondyle,-127.96,29.22,-486.86
medialCondyle,-86.44,19.32,-493.12
lateralPosteriorCondyle,-123.16,56.84,-467.46
medialPosteriorCondyle,-80.25,47.59,-471.96
midfemurCenter,-121.19,12.54,-283.75
PCLOrigin,-93.15,33.70,-464.00
lateralEpicondyle,-142.94,36.98,-461.38
medialSulcus,-69.04,20.17,-469.28
medialEpicondyle,-68.60,13.97,-466.85
