landmark,x, y, z
PCLOrigin,79.67,-133.28,-114.79
femoralCenter,90.95,-154.11,-134.50
greaterTrochanter,136.34,-154.45,283.05
hipCenter,89.57,-166.17,274.06
lateralCondyle,109.78,-146.32,-139.50
lateralEpicondyle,126.19,-138.74,-112.10
lateralPosteriorCondyle,109.32,-116.42,-119.05
medialCondyle,68.27,-143.06,-144.41
medialEpicondyle,50.49,-142.14,-117.94
medialPosteriorCondyle,67.77,-113.70,-122.29
medialSulcus,53.19,-135.40,-122.07
midfemurCenter,106.94,-171.71,75.49
whitesideReference,90.81,-173.88,-119.46
