landmark,x, y, z
PCLOrigin,86.28,197.13,-635.98
femoralCenter,94.83,177.18,-656.25
greaterTrochanter,135.62,173.30,-246.76
hipCenter,87.85,163.48,-248.69
lateralCondyle,116.79,182.71,-660.76
lateralEpicondyle,134.39,186.89,-634.04
lateralPosteriorCondyle,121.41,212.57,-640.96
medialCondyle,71.94,188.76,-664.25
medialEpicondyle,55.72,188.25,-636.94
medialPosteriorCondyle,75.76,218.22,-642.42
medialSulcus,57.35,195.48,-640.53
midfemurCenter,100.64,163.28,-538.50
whitesideReference,91.59,159.86,-644.59
