landmark,x, y, z
hipCenter,-94.62,11.13,1501.04
greaterTrochanter,-142.35,30.40,1506.92
femoralCenter,-164.95,-28.84,1095.76
whitesideReference,-165.95,-46.41,1115.01
lateralCondyle,-181.66,-14.03,1091.19
medialCondyle,-133.59,-18.49,1083.84
lateralPosteriorCondyle,-174.97,13.29,1111.97
medialPosteriorCondyle,-130.62,3.61,1104.20
midfemurCenter,-148.36,-10.16,1302.00
PCLOrigin,-149.41,-10.18,1114.73
lateralEpicondyle,-195.55,-5.50,1118.00
medialSulcus,-118.24,-23.70,1105.79
medialEpicondyle,-118.49,-30.48,1109.09
