landmark,x, y, z
hipCenter,65.61,-34.74,1599.26
greaterTrochanter,107.98,-16.81,1604.92
femoralCenter,83.84,-34.70,1196.51
whitesideReference,80.60,-53.97,1208.15
lateralCondyle,105.01,-30.55,1190.50
medialCondyle,61.67,-21.80,1187.51
lateralPosteriorCondyle,111.29,-3.44,1208.93
medialPosteriorCondyle,63.17,6.14,1207.80
midfemurCenter,97.45,-45.98,1401.49
PCLOrigin,76.65,-14.16,1214.05
lateralEpicondyle,120.76,-27.15,1213.77
medialSulcus,48.03,-14.39,1212.16
medialEpicondyle,45.42,-22.35,1215.60
