landmark,x, y, z
PCLOrigin,-94.96,-105.27,1136.43
femoralCenter,-104.46,-124.92,1114.22
greaterTrochanter,-135.06,-127.61,1484.09
hipCenter,-89.28,-144.58,1476.93
lateralCondyle,-125.05,-119.82,1108.16
lateralEpicondyle,-142.45,-115.51,1135.17
lateralPosteriorCondyle,-128.42,-91.21,1128.93
medialCondyle,-84.02,-114.83,1104.32
medialEpicondyle,-63.81,-117.21,1132.20
medialPosteriorCondyle,-82.31,-85.42,1127.42
medialSulcus,-66.08,-109.57,1129.82
midfemurCenter,-115.22,-143.50,1304.14
whitesideReference,-103.34,-141.44,1123.50
