landmark,x, y, z
hipCenter,-90.94,-38.38,810.13
greaterTrochanter,-138.49,-18.33,816.74
femoralCenter,-102.73,-29.72,401.64
whitesideReference,-101.05,-48.40,416.36
lateralCondyle,-129.67,-18.16,394.18
medialCondyle,-75.26,-22.44,392.88
lateralPosteriorCondyle,-125.37,8.46,417.15
medialPosteriorCondyle,-72.09,8.97,419.18
midfemurCenter,-116.68,-42.51,612.87
PCLOrigin,-90.65,-9.44,423.56
lateralEpicondyle,-140.71,-16.17,419.75
medialSulcus,-60.59,-18.22,420.38
medialEpicondyle,-60.71,-26.10,422.66
