landmark,x, y, z
PCLOrigin,94.77,-118.41,-562.16
femoralCenter,101.37,-138.70,-582.47
greaterTrochanter,153.62,-136.34,-170.49
hipCenter,99.33,-139.19,-173.39
lateralCondyle,121.92,-132.19,-589.61
lateralEpicondyle,139.42,-132.25,-563.39
lateralPosteriorCondyle,127.10,-104.16,-568.89
medialCondyle,80.51,-121.61,-591.25
medialEpicondyle,61.77,-126.10,-561.36
medialPosteriorCondyle,84.17,-96.13,-568.47
medialSulcus,64.44,-119.69,-565.42
midfemurCenter,121.33,-151.93,-371.50
whitesideReference,98.70,-159.51,-566.49
