landmark,x, y, z
PCLOrigin,-87.00,70.47,1011.31
femoralCenter,-99.48,51.14,987.00
greaterTrochanter,-119.13,69.93,1413.46
hipCenter,-67.37,58.92,1410.64
lateralCondyle,-119.66,55.55,984.01
lateralEpicondyle,-137.23,60.57,1012.70
lateralPosteriorCondyle,-119.70,87.97,1008.06
medialCondyle,-73.98,61.11,976.01
medialEpicondyle,-55.39,58.00,1006.26
medialPosteriorCondyle,-72.07,91.58,1001.02
medialSulcus,-56.78,64.17,1002.71
midfemurCenter,-98.07,40.51,1093.00
whitesideReference,-97.78,29.06,999.43
