landmark,x, y, z
PCLOrigin,-110.06,166.37,501.05
femoralCenter,-123.65,144.26,480.81
greaterTrochanter,-116.90,170.25,844.14
hipCenter,-73.91,155.55,835.92
lateralCondyle,-144.28,150.34,473.97
lateralEpicondyle,-159.37,157.47,501.43
lateralPosteriorCondyle,-146.76,181.97,496.11
medialCondyle,-99.08,154.83,470.80
medialEpicondyle,-79.08,151.73,495.57
medialPosteriorCondyle,-100.00,183.58,490.45
medialSulcus,-79.47,156.77,492.48
midfemurCenter,-113.68,141.80,665.79
whitesideReference,-121.38,125.28,493.70
