landmark,x, y, z
hipCenter,-86.84,44.78,-231.74
greaterTrochanter,-143.65,48.52,-231.71
femoralCenter,-80.04,48.61,-668.17
whitesideReference,-79.91,28.12,-656.58
lateralCondyle,-99.03,54.87,-673.12
medialCondyle,-55.55,55.53,-676.87
lateralPosteriorCondyle,-100.71,86.57,-652.58
medialPosteriorCondyle,-52.12,86.95,-652.99
midfemurCenter,-100.82,35.57,-447.50
PCLOrigin,-68.47,69.22,-645.97
lateralEpicondyle,-117.35,64.08,-649.27
medialSulcus,-40.10,60.34,-650.38
medialEpicondyle,-39.02,54.29,-648.06
