landmark,x, y, z
PCLOrigin,114.01,-127.58,1088.92
femoralCenter,118.94,-146.03,1067.29
greaterTrochanter,141.79,-139.23,1509.55
hipCenter,89.07,-143.24,1501.21
lateralCondyle,139.80,-147.11,1061.58
lateralEpicondyle,159.70,-145.32,1089.81
lateralPosteriorCondyle,150.51,-117.24,1082.93
medialCondyle,95.58,-133.61,1058.42
medialEpicondyle,74.87,-131.55,1086.70
medialPosteriorCondyle,103.12,-103.34,1081.54
medialSulcus,80.74,-125.11,1082.81
midfemurCenter,122.74,-152.77,1292.53
whitesideReference,111.66,-165.83,1079.95
