landmark,x, y, z
PCLOrigin,-103.06,28.13,-583.63
femoralCenter,-119.02,9.96,-607.08
greaterTrochanter,-123.66,51.97,-173.62
hipCenter,-79.24,27.08,-174.27
lateralCondyle,-137.94,22.84,-611.32
lateralEpicondyle,-153.14,27.57,-578.86
lateralPosteriorCondyle,-133.99,54.46,-585.43
medialCondyle,-89.58,12.51,-617.30
medialEpicondyle,-73.46,2.80,-587.64
medialPosteriorCondyle,-79.48,40.96,-591.31
medialSulcus,-72.13,8.90,-590.18
midfemurCenter,-120.79,6.52,-472.32
whitesideReference,-124.59,-11.04,-587.54
