landmark,x, y, z
PCLOrigin,-89.85,-21.49,1158.63
femoralCenter,-101.74,-47.06,1136.37
greaterTrochanter,-133.74,-40.50,1598.60
hipCenter,-76.01,-45.67,1594.78
lateralCondyle,-125.87,-33.85,1127.59
lateralEpicondyle,-146.23,-33.39,1159.13
lateralPosteriorCondyle,-124.09,-3.60,1155.07
medialCondyle,-77.71,-35.17,1124.15
medialEpicondyle,-55.30,-39.38,1159.45
medialPosteriorCondyle,-75.82,-5.11,1151.14
medialSulcus,-55.57,-34.22,1155.78
midfemurCenter,-116.73,-57.63,1362.99
whitesideReference,-109.32,-71.92,1170.03
