landmark,x, y, z
PCLOrigin,135.98,11.84,1581.68
femoralCenter,152.41,-5.31,1562.46
greaterTrochanter,116.98,16.98,1978.04
hipCenter,80.50,-8.57,1975.34
lateralCondyle,169.34,0.63,1558.72
lateralEpicondyle,183.76,13.11,1585.57
lateralPosteriorCondyle,162.83,34.95,1579.36
medialCondyle,126.97,-2.34,1549.50
medialEpicondyle,106.17,-6.22,1573.89
medialPosteriorCondyle,116.43,28.36,1571.00
medialSulcus,106.66,-0.14,1571.15
midfemurCenter,135.48,-10.88,1772.49
whitesideReference,152.19,-26.60,1581.29
