landmark,x, y, z
PCLOrigin,-85.19,-111.76,-506.25
femoralCenter,-94.90,-133.66,-527.63
greaterTrochanter,-115.89,-135.87,-131.71
hipCenter,-74.06,-142.80,-137.67
lateralCondyle,-115.20,-127.53,-532.89
lateralEpicondyle,-132.03,-121.54,-508.85
lateralPosteriorCondyle,-119.13,-96.64,-510.99
medialCondyle,-72.37,-122.48,-535.96
medialEpicondyle,-53.29,-122.45,-509.32
medialPosteriorCondyle,-70.14,-91.42,-513.51
medialSulcus,-55.40,-114.22,-511.76
midfemurCenter,-100.90,-150.10,-325.91
whitesideReference,-91.62,-149.05,-519.12
