landmark,x, y, z
hipCenter,-119.74,44.47,1385.00
greaterTrochanter,-167.15,57.19,1390.42
femoralCenter,-130.48,22.15,968.34
whitesideReference,-131.23,4.58,987.61
lateralCondyle,-151.84,33.40,964.01
medialCondyle,-105.45,38.77,958.11
lateralPosteriorCondyle,-149.96,65.31,984.24
medialPosteriorCondyle,-105.43,64.86,980.45
midfemurCenter,-142.44,26.96,1179.98
PCLOrigin,-120.76,45.20,986.43
lateralEpicondyle,-169.21,42.60,988.79
medialSulcus,-92.09,40.08,981.88
medialEpicondyle,-90.05,30.75,986.47
