landmark,x, y, z
hipCenter,-108.00,3.96,-113.78
greaterTrochanter,-157.77,1.83,-104.65
femoralCenter,-112.11,-13.84,-519.62
whitesideReference,-108.79,-29.06,-509.00
lateralCondyle,-135.54,-9.93,-524.62
medialCondyle,-89.06,1.01,-529.62
lateralPosteriorCondyle,-140.62,17.31,-504.12
medialPosteriorCondyle,-91.56,30.90,-505.80
midfemurCenter,-128.52,-18.53,-315.25
PCLOrigin,-105.17,8.40,-499.52
lateralEpicondyle,-149.43,-5.88,-501.36
medialSulcus,-74.54,6.86,-504.18
medialEpicondyle,-72.66,2.91,-502.61
