landmark,x, y, z
PCLOrigin,-63.30,-118.27,268.67
femoralCenter,-66.20,-141.21,250.01
greaterTrochanter,-137.70,-143.72,657.82
hipCenter,-83.33,-144.68,651.04
lateralCondyle,-90.46,-140.38,242.47
lateralEpicondyle,-102.97,-143.14,267.79
lateralPosteriorCondyle,-100.06,-116.14,262.58
medialCondyle,-46.01,-121.86,240.02
medialEpicondyle,-32.44,-119.23,267.31
medialPosteriorCondyle,-56.93,-97.28,261.68
medialSulcus,-34.54,-114.92,264.10
midfemurCenter,-88.28,-150.69,457.00
whitesideReference,-61.00,-157.10,265.44
