landmark,x, y, z
hipCenter,-91.7646,0.5384,878.5047
greaterTrochanter,-145.8385,2.0115,883.6683
femoralCenter,-107.32875,6.53305,429.01225
whitesideReference,-107.80525,-15.7774,447.30665
lateralCondyle,-132.13595,10.3588,424.1125
medialCondyle,-80.95465,13.66435,420.39105
lateralPosteriorCondyle,-136.3903,40.5857,448.813
medialPosteriorCondyle,-80.66365,44.5022,441.86985
midfemurCenter,-118.50015,-4.2609,666.61795
PCLOrigin,-97.0451,24.9842,448.77835
lateralEpicondyle,-148.71015,15.5814,451.13295
medialSulcus,-65.64145,18.6449,445.32605
medialEpicondyle,-63.0188,11.7948,448.694
