landmark,x, y, z
PCLOrigin,-124.276,44.0319,948.902
femoralCenter,-141.2774,26.7745,923.2101
greaterTrochanter,-146.2693,6.7948,1413.4878
hipCenter,-98.481,-12.7953,1400.3874
lateralCondyle,-163.5784,34.6675,914.4319
lateralEpicondyle,-181.931,40.2953,947.5478
lateralPosteriorCondyle,-161.6856,65.6127,936.9164
medialCondyle,-114.6535,33.319,911.0049
medialEpicondyle,-84.6868,37.2463,944.996
medialPosteriorCondyle,-111.7904,63.5992,934.3559
medialSulcus,-86.862,42.209,943.3527
midfemurCenter,-143.7529,-5.8564,1166.389
whitesideReference,-142.4096,-5.3188,947.2128
