landmark,x, y, z
PCLOrigin,32.3282,15.4206,538.8158
femoralCenter,42.4078,-9.1362,516.1337
greaterTrochanter,137.7805,4.0688,1000.5341
hipCenter,72.3962,-4.5555,996.2128
lateralCondyle,67.8044983743378,0.901455733362774,508.600547844201
lateralEpicondyle,87.738,17.3914,531.9391
lateralPosteriorCondyle,66.2433,37.1226,529.1517
medialCondyle,13.6013,1.6315,506.1409
medialEpicondyle,-0.475342147237825,-2.67712089731371,537.102569385615
medialPosteriorCondyle,12.8608,31.595,530.5888
medialSulcus,-0.671700122376251,5.11223958815415,534.173607734939
midfemurCenter,96.5111,-16.1964,762.367
whitesideReference,47.2451,-30.2305,533.7957
