landmark,x, y, z
PCLOrigin,-73.2067,24.9397,369.8941
femoralCenter,-86.7342,3.1495,346.9031
greaterTrochanter,-146.7723,11.2634,762.5808
hipCenter,-95.1526,-15.2809,759.9754
lateralCondyle,-109.0221,13.8635,339.4165
lateralEpicondyle,-128.3097,20.5466,364.459
lateralPosteriorCondyle,-108.9364,43.3741,361.0267
medialCondyle,-56.8909,13.6646,339.3879
medialEpicondyle,-41.3615075972679,6.53373591072683,366.837341836535
medialPosteriorCondyle,-56.2193,41.4725,364.2828
medialSulcus,-41.4560682662727,11.910183748685,363.50762392606
midfemurCenter,-116.0186,-11.3743,560.6184
whitesideReference,-89.228,-13.1569,356.392
