landmark,x, y, z
PCLOrigin,-79.965,17.6368,999.6155
femoralCenter,-96.9763,-4.3903,978.5149
greaterTrochanter,-126.5539,20.6366,1404.2578
hipCenter,-77.8408,6.3884,1400.1727
lateralCondyle,-120.7271,11.1273,971.6973
lateralEpicondyle,-136.7959,13.1163,999.5358
lateralPosteriorCondyle,-118.9831,39.6004,994.6252
medialCondyle,-62.9123,6.763,968.4417
medialEpicondyle,-47.3236,-1.3899,996.3956
medialPosteriorCondyle,-62.0074,34.5931,991.8298
medialSulcus,-46.9229,4.4004,993.0241
midfemurCenter,-103.3541,-5.5297,1197.4919
whitesideReference,-98.7189,-19.089,987.5388
