landmark,x, y, z
hipCenter,-86.995,11.7339,876.5062
greaterTrochanter,-146.5972,23.3194,881.9712
femoralCenter,-104.3606,-7.5796,421.2017
whitesideReference,-104.56685,-29.5374,439.84245
lateralCondyle,-132.66715,1.0686,413.21565
medialCondyle,-74.79015,0.3021,412.3926
lateralPosteriorCondyle,-134.4379,32.24395,437.02065
medialPosteriorCondyle,-74.3694,34.9009,434.4025
midfemurCenter,-124.10445,-7.31775,656.1131
PCLOrigin,-93.51855,15.5559,444.03195
lateralEpicondyle,-150.1182,5.1875,439.4593
medialSulcus,-58.7694,7.3209,437.9966
medialEpicondyle,-57.34975,1.06425,441.2505
