landmark,x, y, z
hipCenter,-105.79070,-11.34330,814.26350
greaterTrochanter,-155.55620,0.02710,815.20550
femoralCenter,-117.91050,-15.27440,410.06055
whitesideReference,-116.18645,-34.85910,422.14660
lateralCondyle,-137.64125,-14.22090,406.29635
medialCondyle,-96.72410,-5.15445,401.62255
lateralPosteriorCondyle,-143.09155,15.25930,426.47790
medialPosteriorCondyle,-98.14450,23.73125,423.38250
midfemurCenter,-125.59155,-22.83855,617.86755
PCLOrigin,-110.90960,2.02585,430.17935
lateralEpicondyle,-155.25115,-8.68180,431.91620
medialSulcus,-79.02960,3.79590,426.73000
medialEpicondyle,-78.44765,-5.78220,430.90800
