landmark,x, y, z
hipCenter,-95.28580,-42.51850,1447.56020
greaterTrochanter,-144.17840,-34.02570,1448.60970
femoralCenter,-87.75675,-43.08915,1044.52365
whitesideReference,-82.47990,-59.69930,1055.29920
lateralCondyle,-109.95205,-43.73700,1038.50005
medialCondyle,-67.47460,-26.03795,1037.50005
lateralPosteriorCondyle,-120.17815,-16.70475,1058.72405
medialPosteriorCondyle,-76.16100,-1.53370,1058.09175
midfemurCenter,-109.41625,-54.30355,1252.49505
PCLOrigin,-83.70600,-21.00655,1063.37300
lateralEpicondyle,-127.82625,-40.04060,1060.24705
medialSulcus,-56.48060,-18.48810,1058.67285
medialEpicondyle,-53.52065,-23.78630,1061.94680
