landmark,x, y, z
hipCenter,-72.7972,2.5704,793.1016
greaterTrochanter,-118.6768,12.5073,808.6109
femoralCenter,-93.09205,20.4005,412.98835
whitesideReference,-92.4061,4.5799,423.32255
lateralCondyle,-111.47295,26.97685,407.37815
medialCondyle,-72.3069,30.54785,406.14
lateralPosteriorCondyle,-114.5194,51.5089,423.84685
medialPosteriorCondyle,-75.73085,54.99765,425.28225
midfemurCenter,-117.18675,-0.0904,608.6127
PCLOrigin,-85.1791,38.82895,430.37415
lateralEpicondyle,-127.19875,31.2822,427.79735
medialSulcus,-59.7977,37.6255,429.2012
medialEpicondyle,-59.48805,31.5405,432.32185
