landmark,x, y, z
hipCenter,-76.922,18.82,914.425
greaterTrochanter,-124.1903,30.3821,915.1839
femoralCenter,-28.33645,10.82910,441.91845
whitesideReference,-23.50165,-4.37110,455.79830
lateralCondyle,-53.25795,13.21070,433.17435
medialCondyle,-6.20095,28.60755,432.53805
lateralPosteriorCondyle,-62.60670,39.13960,451.69585
medialPosteriorCondyle,-14.26130,56.62600,454.65430
midfemurCenter,-67.50845,3.55985,661.25000
PCLOrigin,-25.07175,34.38650,460.63105
lateralEpicondyle,-70.28440,16.26650,455.28955
medialSulcus,5.17360,35.64000,456.89985
medialEpicondyle,7.69690,30.41315,459.39130
