landmark,x, y, z
hipCenter,-113.3454,-33.6148,875.8276
greaterTrochanter,-161.5745,-5.5951,879.8435
femoralCenter,-131.51075,-40.71075,428.1357
whitesideReference,-137.0937,-58.1029,441.169
lateralCondyle,-159.153,-24.52675,417.12295
medialCondyle,-100.1768,-31.30105,416.94945
lateralPosteriorCondyle,-153.5332,7.1248,441.9532
medialPosteriorCondyle,-93.71575,0.37345,442.7174
midfemurCenter,-146.61245,-38.0902,659.3647
PCLOrigin,-114.96635,-16.8005,450.03765
lateralEpicondyle,-175.5067,-19.5227,447.06155
medialSulcus,-80.65315,-34.2603,448.97735
medialEpicondyle,-80.48825,-40.7189,453.3173
