landmark,x, y, z
hipCenter,-94.5379,-74.8869,983.5191
greaterTrochanter,-139.3666,-51.9971,998.7441
femoralCenter,-165.33810,-93.64280,529.99355
whitesideReference,-166.05370,-113.51465,544.00360
lateralCondyle,-187.71285,-78.25270,525.92860
medialCondyle,-134.28095,-89.33665,517.56845
lateralPosteriorCondyle,-179.97480,-46.72205,549.36140
medialPosteriorCondyle,-126.18860,-61.13370,539.61850
midfemurCenter,-163.42610,-96.42860,591.00000
PCLOrigin,-146.90890,-77.60000,546.13050
lateralEpicondyle,-200.80200,-69.50920,555.24200
medialSulcus,-118.06490,-91.58490,543.43490
medialEpicondyle,-117.29965,-97.27955,546.24620
