landmark,x, y, z
hipCenter,-85.81,-37.61,885.98
greaterTrochanter,-137.79,-22.43,888.57
femoralCenter,-84.99,-32.44,459.38
whitesideReference,-85.68,-53.86,472.64
lateralCondyle,-105.99,-24.18,454.36
medialCondyle,-57.86,-27.17,453.14
lateralPosteriorCondyle,-105.57,8.42,475.92
medialPosteriorCondyle,-57.33,4.35,477.47
midfemurCenter,-108.56,-47.53,681.87
PCLOrigin,-71.15,-13.08,483.84
lateralEpicondyle,-124.13,-14.12,481.43
medialSulcus,-43.47,-22.76,476.96
medialEpicondyle,-41.86,-32.47,481.56
