landmark,x, y, z
hipCenter,-112.1939,19.8789,804.6059
greaterTrochanter,-158.4552,26.6416,809.6175
femoralCenter,-117.08290,8.86725,403.31230
whitesideReference,-112.48820,-10.21180,414.74150
lateralCondyle,-143.27375,14.89735,397.13295
medialCondyle,-94.23320,24.76805,394.63840
lateralPosteriorCondyle,-144.09945,41.64020,418.93620
medialPosteriorCondyle,-99.51110,50.68100,416.72540
midfemurCenter,-132.09720,4.41140,600.25000
PCLOrigin,-109.67845,32.04900,422.84290
lateralEpicondyle,-155.86030,16.21590,420.40690
medialSulcus,-80.63750,31.36810,417.67500
medialEpicondyle,-77.75870,23.91310,421.00450
