landmark,x, y, z
hipCenter,-78.3869,17.4812,949.4344
greaterTrochanter,-126.1419,38.0872,939.3612
femoralCenter,-54.33925,-13.87040,474.28070
whitesideReference,-48.28030,-33.26800,493.22300
lateralCondyle,-84.10555,-10.08470,469.37120
medialCondyle,-33.89805,7.60385,466.88535
lateralPosteriorCondyle,-96.38300,15.26500,492.27120
medialPosteriorCondyle,-42.53640,36.25040,489.74405
midfemurCenter,-79.87615,-4.77385,723.75000
PCLOrigin,-52.21305,11.54405,499.37485
lateralEpicondyle,-101.91985,-11.15820,498.25915
medialSulcus,-18.12770,14.64960,493.31420
medialEpicondyle,-14.70935,8.41745,496.53860
